otu_id,Phylum,Class,Order,Family,Genus,Species
OTU649,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera perpusilla
OTU652,NA,NA,NA,NA,NA,NA
OTU653,Arthropoda,Insecta,Coleoptera,Staphylinidae,Medon,NA
OTU654,NA,NA,NA,NA,NA,NA
OTU656,NA,NA,NA,NA,NA,NA
OTU658,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes
OTU662,NA,NA,NA,NA,NA,NA
OTU663,NA,NA,NA,NA,NA,NA
OTU664,NA,NA,NA,NA,NA,NA
OTU666,NA,NA,NA,NA,NA,NA
OTU673,Arthropoda,Insecta,NA,NA,NA,NA
OTU676,NA,NA,NA,NA,NA,NA
OTU677,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus reversus
OTU680,NA,NA,NA,NA,NA,NA
OTU681,Annelida,Clitellata,Tubificida,Naididae,Chaetogaster,Chaetogaster diastrophus
OTU684,NA,NA,NA,NA,NA,NA
OTU685,NA,NA,NA,NA,NA,NA
OTU686,NA,NA,NA,NA,NA,NA
OTU687,NA,NA,NA,NA,NA,NA
OTU689,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus usmaensis
OTU690,NA,NA,NA,NA,NA,NA
OTU692,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,NA
OTU693,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia connata
OTU694,NA,NA,NA,NA,NA,NA
OTU696,NA,NA,NA,NA,NA,NA
OTU698,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,NA
OTU699,NA,NA,NA,NA,NA,NA
OTU701,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,NA
OTU702,NA,NA,NA,NA,NA,NA
OTU706,NA,NA,NA,NA,NA,NA
OTU707,NA,NA,NA,NA,NA,NA
OTU708,NA,NA,NA,NA,NA,NA
OTU711,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion cyaneum
OTU714,Arthropoda,Diplopoda,Polyxenida,Polyxenidae,Polyxenus,Polyxenus lagurus
OTU715,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula maxima
OTU717,Arthropoda,Insecta,Diptera,NA,NA,NA
